source,target,weight,alpha_out,alpha_in
TW,HK,150290,0.0001,0.0033
TW,JP,31369,0.1631,0.0839
TW,US,318961,0.0,0.2587
TZ,KE,10053,0.0,0.0091
TZ,US,5620,0.0031,0.9765
UA,AU,26642,0.3036,0.0844
UA,BY,28483,0.2794,0.0021
UA,DE,146546,0.0011,0.0612
UA,EE,8981,0.6705,0.012
UA,GB,64844,0.0532,0.1682
UA,IL,84306,0.0216,0.0008
UA,IN,60455,0.0651,0.0777
UA,LT,4559,0.8165,0.0579
UA,LV,5538,0.7817,0.0499
UA,MD,3317,0.8629,0.0381
UA,PK,11237,0.6062,0.0103
UA,PL,69636,0.0426,0.0011
UA,RO,15571,0.4993,0.0293
UA,RU,186656,0.0002,0.0003
UA,SK,8494,0.6852,0.0573
UA,TR,15886,0.4923,0.0164
UA,US,641304,0.0,0.0653
UA,UZ,2090,0.9113,0.0616
UG,GB,12372,0.0027,0.713
UG,NG,6672,0.049,0.1353
UG,US,22702,0.0,0.9086
